id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
163,2009,Johannesburg,16-05-2009,KKR,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,RG Sharma,New Wanderers Stadium,RE Koertzen,S Ravi,
164,2009,Johannesburg,17-05-2009,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings XI Punjab,1,0,Yuvraj Singh,New Wanderers Stadium,S Ravi,RB Tiffin,
165,2009,Bloemfontein,17-05-2009,DC,RR,DC,bat,normal,0,DC,14,0,AB de Villiers,OUTsurance Oval,SS Hazare,IL Howell,
166,2009,Centurion,18-05-2009,CSK,KKR,CSK,bat,normal,0,KKR,0,7,BJ Hodge,SuperSport Park,SJA Taufel,RB Tiffin,
167,2009,Johannesburg,19-05-2009,DC,RCB,DC,bat,normal,0,RCB,0,7,JH Kallis,New Wanderers Stadium,IL Howell,RB Tiffin,
168,2009,Durban,20-05-2009,RR,KKR,KKR,field,normal,0,KKR,0,4,LR Shukla,Kingsmead,BG Jerling,SJA Taufel,
169,2009,Durban,20-05-2009,CSK,Kings XI Punjab,CSK,bat,normal,0,CSK,24,0,M Muralitharan,Kingsmead,BG Jerling,SJA Taufel,
170,2009,Centurion,21-05-2009,MI,DC,DC,field,normal,0,DC,0,4,V Sehwag,SuperSport Park,IL Howell,S Ravi,
171,2009,Centurion,21-05-2009,RCB,Deccan Chargers,RCB,bat,normal,0,RCB,12,0,MK Pandey,SuperSport Park,IL Howell,S Ravi,
172,2009,Centurion,22-05-2009,DC,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,AC Gilchrist,SuperSport Park,BR Doctrove,DJ Harper,
173,2009,Johannesburg,23-05-2009,CSK,RCB,RCB,field,normal,0,RCB,0,6,MK Pandey,New Wanderers Stadium,RE Koertzen,SJA Taufel,
174,2009,Johannesburg,24-05-2009,Deccan Chargers,RCB,RCB,field,normal,0,Deccan Chargers,6,0,A Kumble,New Wanderers Stadium,RE Koertzen,SJA Taufel,
175,2010,Mumbai,12-03-2010,KKR,Deccan Chargers,Deccan Chargers,field,normal,0,KKR,11,0,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen,RB Tiffin,
176,2010,Mumbai,13-03-2010,MI,RR,MI,bat,normal,0,MI,4,0,YK Pathan,Brabourne Stadium,RE Koertzen,RB Tiffin,
177,2010,Chandigarh,13-03-2010,Kings XI Punjab,DC,DC,field,normal,0,DC,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,
178,2010,Kolkata,14-03-2010,RCB,KKR,KKR,field,normal,0,KKR,0,7,MK Tiwary,Eden Gardens,HDPK Dharmasena,AM Saheba,
179,2010,Chennai,14-03-2010,Deccan Chargers,CSK,Deccan Chargers,bat,normal,0,Deccan Chargers,31,0,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,
180,2010,Ahmedabad,15-03-2010,RR,DC,DC,field,normal,0,DC,0,6,V Sehwag,"Sardar Patel Stadium, Motera",BG Jerling,RE Koertzen,
181,2010,Bangalore,16-03-2010,Kings XI Punjab,RCB,Kings XI Punjab,bat,normal,0,RCB,0,8,JH Kallis,M Chinnaswamy Stadium,S Das,DJ Harper,
182,2010,Kolkata,16-03-2010,CSK,KKR,CSK,bat,normal,0,CSK,55,0,MS Dhoni,Eden Gardens,HDPK Dharmasena,AM Saheba,
183,2010,Delhi,17-03-2010,MI,DC,DC,field,normal,0,MI,98,0,SR Tendulkar,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
184,2010,Bangalore,18-03-2010,RR,RCB,RCB,field,normal,0,RCB,0,10,JH Kallis,M Chinnaswamy Stadium,K Hariharan,DJ Harper,
185,2010,Delhi,19-03-2010,DC,CSK,DC,bat,normal,0,CSK,0,5,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
186,2010,Cuttack,19-03-2010,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Deccan Chargers,6,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,
187,2010,Ahmedabad,20-03-2010,RR,KKR,RR,bat,normal,0,RR,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin,
188,2010,Mumbai,20-03-2010,MI,RCB,MI,bat,normal,0,RCB,0,7,JH Kallis,Brabourne Stadium,HDPK Dharmasena,SS Hazare,
189,2010,Cuttack,21-03-2010,Deccan Chargers,DC,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,
190,2010,Chennai,21-03-2010,Kings XI Punjab,CSK,CSK,field,tie,0,Kings XI Punjab,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,
191,2010,Mumbai,22-03-2010,KKR,MI,KKR,bat,normal,0,MI,0,7,SR Tendulkar,Brabourne Stadium,SS Hazare,SJA Taufel,
192,2010,Bangalore,23-03-2010,RCB,CSK,CSK,field,normal,0,RCB,36,0,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
193,2010,Chandigarh,24-03-2010,RR,Kings XI Punjab,Kings XI Punjab,field,normal,0,RR,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore,
194,2010,Mumbai,25-03-2010,CSK,MI,MI,field,normal,0,MI,0,5,SR Tendulkar,Brabourne Stadium,BF Bowden,AM Saheba,
195,2010,Ahmedabad,26-03-2010,Deccan Chargers,RR,Deccan Chargers,bat,normal,0,RR,0,8,YK Pathan,"Sardar Patel Stadium, Motera",HDPK Dharmasena,SJA Taufel,
196,2010,Chandigarh,27-03-2010,KKR,Kings XI Punjab,KKR,bat,normal,0,KKR,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,
197,2010,Bangalore,25-03-2010,DC,RCB,RCB,field,normal,0,DC,17,0,KM Jadhav,M Chinnaswamy Stadium,BG Jerling,RE Koertzen,
198,2010,Ahmedabad,28-03-2010,RR,CSK,RR,bat,normal,0,RR,17,0,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel,
199,2010,Mumbai,28-03-2010,MI,Deccan Chargers,Deccan Chargers,field,normal,0,MI,41,0,Harbhajan Singh,Dr DY Patil Sports Academy,S Das,K Hariharan,
200,2010,Delhi,29-03-2010,DC,KKR,DC,bat,normal,0,DC,40,0,DA Warner,Feroz Shah Kotla,SS Hazare,SJA Taufel,
201,2010,Mumbai,30-03-2010,Kings XI Punjab,MI,MI,field,normal,0,MI,0,4,SL Malinga,Brabourne Stadium,BR Doctrove,SK Tarapore,
202,2010,Chennai,31-03-2010,RCB,CSK,RCB,bat,normal,0,CSK,0,5,M Vijay,"MA Chidambaram Stadium, Chepauk",BG Jerling,RE Koertzen,
203,2010,Delhi,31-03-2010,DC,RR,DC,bat,normal,0,DC,67,0,KD Karthik,Feroz Shah Kotla,HDPK Dharmasena,SJA Taufel,
204,2010,Kolkata,01-04-2010,KKR,Deccan Chargers,KKR,bat,normal,0,KKR,24,0,SC Ganguly,Eden Gardens,K Hariharan,DJ Harper,
205,2010,Chandigarh,02-04-2010,Kings XI Punjab,RCB,Kings XI Punjab,bat,normal,0,RCB,0,6,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",BF Bowden,M Erasmus,
206,2010,Chennai,03-04-2010,CSK,RR,CSK,bat,normal,0,CSK,23,0,M Vijay,"MA Chidambaram Stadium, Chepauk",RE Koertzen,RB Tiffin,
207,2010,Mumbai,03-04-2010,MI,Deccan Chargers,MI,bat,normal,0,MI,63,0,AT Rayudu,Brabourne Stadium,BR Doctrove,S Ravi,
208,2010,Kolkata,04-04-2010,KKR,Kings XI Punjab,KKR,bat,normal,0,Kings XI Punjab,0,8,DPMD Jayawardene,Eden Gardens,S Asnani,DJ Harper,
209,2010,Delhi,04-04-2010,DC,RCB,DC,bat,normal,0,DC,37,0,PD Collingwood,Feroz Shah Kotla,BF Bowden,M Erasmus,
210,2010,Nagpur,05-04-2010,RR,Deccan Chargers,RR,bat,normal,0,RR,2,0,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,
211,2010,Chennai,06-04-2010,CSK,MI,CSK,bat,normal,0,CSK,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",S Asnani,DJ Harper,
212,2010,Jaipur,07-04-2010,Kings XI Punjab,RR,Kings XI Punjab,bat,normal,0,RR,0,9,MJ Lumb,Sawai Mansingh Stadium,S Ravi,SK Tarapore,
213,2010,Kolkata,07-04-2010,KKR,DC,KKR,bat,normal,0,KKR,14,0,SC Ganguly,Eden Gardens,BG Jerling,RE Koertzen,
214,2010,Bangalore,08-04-2010,RCB,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,TL Suman,M Chinnaswamy Stadium,S Asnani,DJ Harper,
215,2010,Chandigarh,09-04-2010,MI,Kings XI Punjab,MI,bat,normal,0,Kings XI Punjab,0,6,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",M Erasmus,AM Saheba,
216,2010,Nagpur,10-04-2010,CSK,Deccan Chargers,CSK,bat,normal,0,Deccan Chargers,0,6,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,
217,2010,Bangalore,10-04-2010,KKR,RCB,RCB,field,normal,0,RCB,0,7,R Vinay Kumar,M Chinnaswamy Stadium,K Hariharan,DJ Harper,
218,2010,Delhi,11-04-2010,DC,Kings XI Punjab,DC,bat,normal,0,Kings XI Punjab,0,7,PP Chawla,Feroz Shah Kotla,BF Bowden,AM Saheba,
219,2010,Jaipur,11-04-2010,MI,RR,RR,field,normal,0,MI,37,0,SR Tendulkar,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
220,2010,Nagpur,12-04-2010,Deccan Chargers,RCB,RCB,field,normal,0,Deccan Chargers,13,0,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",RE Koertzen,RB Tiffin,
221,2010,Mumbai,13-04-2010,MI,DC,MI,bat,normal,0,MI,39,0,KA Pollard,Brabourne Stadium,S Asnani,DJ Harper,
222,2010,Chennai,13-04-2010,KKR,CSK,KKR,bat,normal,0,CSK,0,9,R Ashwin,"MA Chidambaram Stadium, Chepauk",SS Hazare,SJA Taufel,
223,2010,Jaipur,14-04-2010,RR,RCB,RR,bat,normal,0,RCB,0,5,KP Pietersen,Sawai Mansingh Stadium,BR Doctrove,S Ravi,
224,2010,Chennai,15-04-2010,CSK,DC,CSK,bat,normal,0,DC,0,6,G Gambhir,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,SS Hazare,
225,2010,Dharamsala,16-04-2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,5,RG Sharma,Himachal Pradesh Cricket Association Stadium,M Erasmus,AM Saheba,
226,2010,Bangalore,17-04-2010,MI,RCB,RCB,field,normal,0,MI,57,0,R McLaren,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,
227,2010,Kolkata,17-04-2010,RR,KKR,RR,bat,normal,0,KKR,0,8,JD Unadkat,Eden Gardens,BG Jerling,RB Tiffin,
228,2010,Dharamsala,18-04-2010,Kings XI Punjab,CSK,CSK,field,normal,0,CSK,0,6,MS Dhoni,Himachal Pradesh Cricket Association Stadium,BF Bowden,AM Saheba,
229,2010,Delhi,18-04-2010,Deccan Chargers,DC,Deccan Chargers,bat,normal,0,Deccan Chargers,11,0,A Symonds,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
230,2010,Kolkata,19-04-2010,MI,KKR,MI,bat,normal,0,KKR,0,9,M Kartik,Eden Gardens,BG Jerling,RE Koertzen,
231,2010,Mumbai,21-04-2010,MI,RCB,MI,bat,normal,0,MI,35,0,KA Pollard,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,
232,2010,Mumbai,22-04-2010,CSK,Deccan Chargers,CSK,bat,normal,0,CSK,38,0,DE Bollinger,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,
233,2010,Mumbai,24-04-2010,Deccan Chargers,RCB,Deccan Chargers,bat,normal,0,RCB,0,9,A Kumble,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,
234,2010,Mumbai,25-04-2010,CSK,MI,CSK,bat,normal,0,CSK,22,0,SK Raina,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,
235,2011,Chennai,08-04-2011,CSK,KKR,CSK,bat,normal,0,CSK,2,0,S Anirudha,"MA Chidambaram Stadium, Chepauk",BR Doctrove,PR Reiffel,
236,2011,Hyderabad,09-04-2011,Deccan Chargers,RR,RR,field,normal,0,RR,0,8,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,SK Tarapore,
237,2011,Kochi,09-04-2011,Kochi Tuskers Kerala,RCB,Kochi Tuskers Kerala,bat,normal,0,RCB,0,6,AB de Villiers,Nehru Stadium,HDPK Dharmasena,K Hariharan,
238,2011,Delhi,10-04-2011,DC,MI,DC,bat,normal,0,MI,0,8,SL Malinga,Feroz Shah Kotla,AM Saheba,RB Tiffin,
239,2011,Mumbai,10-04-2011,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,0,Pune Warriors,0,7,SB Wagh,Dr DY Patil Sports Academy,BR Doctrove,PR Reiffel,
240,2011,Kolkata,11-04-2011,KKR,Deccan Chargers,KKR,bat,normal,0,KKR,9,0,JH Kallis,Eden Gardens,RE Koertzen,SK Tarapore,
241,2011,Jaipur,12-04-2011,DC,RR,DC,bat,normal,0,RR,0,6,SK Warne,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
242,2011,Bangalore,12-04-2011,RCB,MI,MI,field,normal,0,MI,0,9,SR Tendulkar,M Chinnaswamy Stadium,HDPK Dharmasena,AL Hill,
243,2011,Chandigarh,13-04-2011,CSK,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SL Shastri,
244,2011,Mumbai,13-04-2011,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,normal,0,Pune Warriors,0,4,MD Mishra,Dr DY Patil Sports Academy,S Asnani,PR Reiffel,
245,2011,Hyderabad,14-04-2011,Deccan Chargers,RCB,RCB,field,normal,0,Deccan Chargers,33,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,
246,2011,Jaipur,15-04-2011,RR,KKR,KKR,field,normal,0,KKR,0,9,G Gambhir,Sawai Mansingh Stadium,Aleem Dar,SS Hazare,
247,2011,Mumbai,15-04-2011,MI,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,BB McCullum,Wankhede Stadium,BR Doctrove,PR Reiffel,
248,2011,Chennai,16-04-2011,CSK,RCB,CSK,bat,normal,0,CSK,21,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,AL Hill,
249,2011,Hyderabad,16-04-2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,8,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,
250,2011,Mumbai,17-04-2011,Pune Warriors,DC,DC,field,normal,0,DC,0,3,Yuvraj Singh,Dr DY Patil Sports Academy,Asad Rauf,AM Saheba,
251,2011,Kolkata,17-04-2011,RR,KKR,KKR,field,normal,0,KKR,0,8,L Balaji,Eden Gardens,Aleem Dar,RB Tiffin,
252,2011,Kochi,18-04-2011,CSK,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,1,Kochi Tuskers Kerala,0,7,BB McCullum,Nehru Stadium,K Hariharan,AL Hill,
253,2011,Delhi,19-04-2011,Deccan Chargers,DC,Deccan Chargers,bat,normal,0,Deccan Chargers,16,0,S Sohal,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
254,2011,Mumbai,20-04-2011,Pune Warriors,MI,Pune Warriors,bat,normal,0,MI,0,7,MM Patel,Wankhede Stadium,Asad Rauf,AM Saheba,
255,2011,Kolkata,20-04-2011,Kochi Tuskers Kerala,KKR,KKR,field,normal,0,Kochi Tuskers Kerala,6,0,DPMD Jayawardene,Eden Gardens,Aleem Dar,RB Tiffin,
256,2011,Chandigarh,21-04-2011,Kings XI Punjab,RR,RR,field,normal,0,Kings XI Punjab,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,PR Reiffel,
257,2011,Mumbai,22-04-2011,MI,CSK,CSK,field,normal,0,MI,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,AM Saheba,
258,2011,Kolkata,22-04-2011,KKR,RCB,RCB,field,normal,0,RCB,0,9,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,
259,2011,Delhi,23-04-2011,DC,Kings XI Punjab,Kings XI Punjab,field,normal,0,DC,29,0,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,
260,2011,Hyderabad,24-04-2011,MI,Deccan Chargers,Deccan Chargers,field,normal,0,MI,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,AL Hill,
261,2011,Jaipur,24-04-2011,Kochi Tuskers Kerala,RR,RR,field,normal,0,RR,0,8,SK Warne,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
262,2011,Chennai,25-04-2011,CSK,Pune Warriors,Pune Warriors,field,normal,0,CSK,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
263,2011,Delhi,26-04-2011,DC,RCB,RCB,field,normal,0,RCB,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,
264,2011,Mumbai,27-04-2011,Pune Warriors,CSK,Pune Warriors,bat,normal,0,CSK,0,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
265,2011,Kochi,27-04-2011,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Deccan Chargers,55,0,I Sharma,Nehru Stadium,HDPK Dharmasena,AL Hill,
266,2011,Delhi,28-04-2011,KKR,DC,DC,field,normal,0,KKR,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
267,2011,Jaipur,29-04-2011,MI,RR,RR,field,normal,0,RR,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,
268,2011,Bangalore,29-04-2011,RCB,Pune Warriors,Pune Warriors,field,normal,0,RCB,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
269,2011,Kochi,30-04-2011,DC,Kochi Tuskers Kerala,DC,bat,normal,0,DC,38,0,V Sehwag,Nehru Stadium,HDPK Dharmasena,AL Hill,
270,2011,Kolkata,30-04-2011,Kings XI Punjab,KKR,KKR,field,normal,0,KKR,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,
271,2011,Jaipur,01-05-2011,Pune Warriors,RR,RR,field,normal,0,RR,0,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,
272,2011,Chennai,01-05-2011,CSK,Deccan Chargers,CSK,bat,normal,0,CSK,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
273,2011,Mumbai,02-05-2011,MI,Kings XI Punjab,Kings XI Punjab,field,normal,0,MI,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,
274,2011,Delhi,02-05-2011,DC,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,
275,2011,Hyderabad,03-05-2011,KKR,Deccan Chargers,Deccan Chargers,field,normal,0,KKR,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,
276,2011,Chennai,04-05-2011,RR,CSK,RR,bat,normal,0,CSK,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,
277,2011,Mumbai,04-05-2011,MI,Pune Warriors,Pune Warriors,field,normal,0,MI,21,0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel,
278,2011,Kochi,05-05-2011,Kochi Tuskers Kerala,KKR,KKR,field,normal,0,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,
279,2011,Hyderabad,05-05-2011,Deccan Chargers,DC,DC,field,normal,0,DC,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
280,2011,Bangalore,06-05-2011,RCB,Kings XI Punjab,Kings XI Punjab,field,normal,0,RCB,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,
281,2011,Kolkata,07-05-2011,CSK,KKR,CSK,bat,normal,1,KKR,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,
282,2011,Mumbai,07-05-2011,MI,DC,DC,field,normal,0,MI,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,
283,2011,Bangalore,08-05-2011,Kochi Tuskers Kerala,RCB,Kochi Tuskers Kerala,bat,normal,0,RCB,0,9,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
284,2011,Chandigarh,08-05-2011,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,0,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
285,2011,Jaipur,09-05-2011,CSK,RR,RR,field,normal,0,CSK,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,
286,2011,Hyderabad,10-05-2011,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Pune Warriors,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
287,2011,Chandigarh,10-05-2011,Kings XI Punjab,MI,MI,field,normal,0,Kings XI Punjab,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
288,2011,Jaipur,11-05-2011,RR,RCB,RCB,field,normal,0,RCB,0,9,S Aravind,Sawai Mansingh Stadium,HDPK Dharmasena,K Hariharan,
289,2011,Chennai,12-05-2011,CSK,DC,CSK,bat,normal,0,CSK,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri,
290,2011,Indore,13-05-2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,KD Karthik,Holkar Cricket Stadium,S Asnani,RJ Tucker,
291,2011,Bangalore,14-05-2011,KKR,RCB,RCB,field,normal,1,RCB,0,4,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
292,2011,Mumbai,14-05-2011,Deccan Chargers,MI,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Mishra,Wankhede Stadium,S Ravi,SK Tarapore,
293,2011,Dharamsala,15-05-2011,Kings XI Punjab,DC,DC,field,normal,0,Kings XI Punjab,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri,
294,2011,Indore,15-05-2011,RR,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,BJ Hodge,Holkar Cricket Stadium,PR Reiffel,RJ Tucker,
295,2011,Mumbai,16-05-2011,Pune Warriors,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,
296,2011,Dharamsala,17-05-2011,Kings XI Punjab,RCB,Kings XI Punjab,bat,normal,0,Kings XI Punjab,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
297,2011,Chennai,18-05-2011,CSK,Kochi Tuskers Kerala,CSK,bat,normal,0,CSK,11,0,WP Saha,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RE Koertzen,
298,2011,Mumbai,19-05-2011,Pune Warriors,KKR,KKR,field,normal,0,KKR,0,7,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel,
299,2011,Mumbai,20-05-2011,MI,RR,MI,bat,normal,0,RR,0,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,
300,2011,Dharamsala,21-05-2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Deccan Chargers,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
301,2011,Delhi,21-05-2011,DC,Pune Warriors,DC,bat,no result,0,,0,0,,Feroz Shah Kotla,SS Hazare,RJ Tucker,
302,2011,Bangalore,22-05-2011,CSK,RCB,RCB,field,normal,0,RCB,0,8,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen,
303,2011,Kolkata,22-05-2011,KKR,MI,MI,field,normal,0,MI,0,5,JEC Franklin,Eden Gardens,SK Tarapore,SJA Taufel,
304,2011,Mumbai,24-05-2011,RCB,CSK,CSK,field,normal,0,CSK,0,6,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel,
305,2011,Mumbai,25-05-2011,KKR,MI,MI,field,normal,0,MI,0,4,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel,
306,2011,Chennai,27-05-2011,RCB,MI,MI,field,normal,0,RCB,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
307,2011,Chennai,28-05-2011,CSK,RCB,CSK,bat,normal,0,CSK,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
308,2012,Chennai,04-04-2012,CSK,MI,MI,field,normal,0,MI,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk",JD Cloete,SJA Taufel,
309,2012,Kolkata,05-04-2012,KKR,DC,DC,field,normal,0,DC,0,8,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena,
310,2012,Mumbai,06-04-2012,Pune Warriors,MI,MI,field,normal,0,Pune Warriors,28,0,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,
311,2012,Jaipur,06-04-2012,RR,Kings XI Punjab,Kings XI Punjab,field,normal,0,RR,31,0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
312,2012,Bangalore,07-04-2012,RCB,DC,DC,field,normal,0,RCB,20,0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,
313,2012,Visakhapatnam,07-04-2012,CSK,Deccan Chargers,Deccan Chargers,field,normal,0,CSK,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete,HDPK Dharmasena,
314,2012,Jaipur,08-04-2012,RR,KKR,KKR,field,normal,0,RR,22,0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,
315,2012,Pune,08-04-2012,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,normal,0,Pune Warriors,22,0,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
316,2012,Visakhapatnam,09-04-2012,Deccan Chargers,MI,Deccan Chargers,bat,normal,0,MI,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete,
317,2012,Bangalore,10-04-2012,KKR,RCB,RCB,field,normal,0,KKR,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
